date,bdi
2021-12-01,1606.785728957035
2022-01-01,1756.500238719167
2022-02-01,1731.9956849032733
2022-03-01,1667.2888737415121
2022-04-01,1592.9492307703815
2022-05-01,1525.918372588509
2022-06-01,1519.2577867561993
2022-07-01,1546.184046793163
2022-08-01,1567.4418138504943
2022-09-01,1632.3350793102168
2022-10-01,1630.8608641535552
2022-11-01,1744.6572339072231
2022-12-01,1718.8361998039495
